,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
4852,ZFC3H1,0.06628103976593766,-0.13797961,RECQL4,0.4733926442111033,-2.6394753,MKLN1,0.0002862296461835211,0.5590011,ACSS1,0.5957696362722464,-0.7328739
4853,MECR,0.06629427009639682,-1.6126869,TOPORS,0.47345140338236225,-0.047095932,LARP4B,0.00028905872616433626,1.3010845,DEPDC1,0.5957802415077689,-1.3472527
4854,KIAA1109,0.06635935086964102,-0.5522553,KLHL9,0.4734807844722213,0.9945242,PGM1,0.00028941794132013386,1.9360801,AP001059.7,0.5959923642916636,0.8432319
4855,PDLIM1,0.0664079199361366,0.35817885,ZNF101,0.4736472962551386,-0.052120805,CLN6,0.00028946287260722507,1.924231,NLRP1,0.5960347929788021,-0.8007178
4856,SCO1,0.06642006677698396,-0.18323582,HAUS2,0.47371586928832765,-0.09905816,GLB1,0.0002906634535841705,0.8430248,AC092580.4,0.5962045214914133,-2.6979263
4857,ATP1B1,0.06679198017597764,-4.2609158,CEP192,0.4738922250070411,-0.36039728,JMJD8,0.00029135589827405635,2.1119401,C4ORF46,0.5962045214914133,-1.7122049
4858,CTSW,0.06682526995071643,-4.31963,PDCD1,0.4740490159385329,-2.3971493,TNFAIP8,0.00029162727529779116,-0.76627654,ZNF138,0.596437934144401,0.24251543
4859,TFCP2,0.06684747072260143,-0.7769983,ATP6V1B2,0.4741421240416831,-0.09427871,LYRM7,0.0002942628216833685,0.24952611,FBXL5,0.5965015993624991,0.23407263
4860,VAPB,0.06694189176176549,-0.3524377,SETD4,0.4744166063734673,-0.45887917,UBXN1,0.0002954820392835969,0.37791777,ALG6,0.5966077149354497,0.6448451
4861,MAN1A2,0.06730057719756079,-0.067517735,SNRNP200,0.4748333980810612,-0.014086025,LRRC28,0.0002979346824573046,1.4039768,INTS1,0.5966607759446374,1.1026412
4862,TCHP,0.06730839223849952,-0.717937,EEPD1,0.47489225545282543,-2.1517212,CAMK1D,0.0002984737337623949,-3.1579502,PLAA,0.5967138391020017,0.7207773
4863,HNRNPA1L2,0.0673385429640067,-0.3315831,ERCC6L2,0.47503451063471214,-0.69008076,NBR1,0.0002999105116430254,0.84189695,SUV39H1,0.5967562911744304,-24.251526
4864,FAM72C,0.06755326880639725,-24.69123,RPA2,0.4751179124762417,0.21531357,ABCD3,0.000300965155706498,1.97074,DIAPH3,0.5967562911744304,-23.950851
4865,PRF1,0.06755326880639725,-25.519173,KHDC1,0.4751767892024229,-1.8260041,SWAP70,0.0003022415517671076,0.29852733,IL2RB,0.5967562911744304,-24.206715
4866,ZNF518A,0.06762048604892869,-0.18224311,SLC41A1,0.4751816957769929,-0.7455973,FUOM,0.00030291290585120293,0.48979697,MFSD9,0.5969898021402558,1.5868756
4867,IGLC7,0.06765299410222991,-1.1662812,MAT2A,0.4752454837763873,0.009449078,STK32C,0.00030488817962927804,1.7642198,SPN,0.5971702708994546,-0.7660725
4868,POLR3C,0.0678876566800553,-0.69238627,ATF6,0.47542215198617,-0.14483099,TNFRSF4,0.0003063538495858934,5.983144,SEMA4D,0.5971702708994546,0.332251
4869,PKNOX1,0.0679045242080577,-0.5538235,FIG4,0.47552522507775563,-0.36195144,PTPRE,0.00030723958326127815,1.76947,ANKRD36,0.5972445887761662,0.37177372
4870,RBM15,0.06793151942230938,-0.7066226,APBA3,0.47556449424135727,-0.66909313,GLYCTK,0.00030723958326127815,2.0917962,TSGA10,0.5974250925560003,0.31631857
4871,PHF23,0.06795964882215484,-0.44837472,SURF6,0.47556940301186745,-0.39001045,RP11-1094M14.11,0.0003111910184342335,0.956935,MAD2L1BP,0.5975525219182237,0.24009226
4872,BACH1,0.06798328492041404,-0.270617,RP11-430B1.2,0.47574122748675374,1.0942968,DENND1C,0.0003141210790285955,0.71788836,RELL2,0.5975631415893332,1.4290602
4873,MIEF1,0.06803733567506273,-0.62530875,HDAC6,0.47589344330339733,-0.69570976,ZC3H14,0.0003147037026577562,0.9783746,CBWD5,0.5976905843325734,0.13241968
4874,ATAD2B,0.06805761381685045,-0.46528286,PDSS2,0.475947461784925,-0.3945671,DYRK1A,0.0003157582251058891,1.1946332,CDIP1,0.5978605271984374,-1.1258059
4875,MYO1C,0.06817148892612603,-1.4133925,ZGRF1,0.4760505973104885,-1.4210422,C6ORF203,0.0003199601255789633,0.8550421,CDO1,0.5979561297049769,3.8115792
4876,RP11-77H9.8,0.06836012112613564,-2.2987516,MCAT,0.47621760460730267,-0.59700906,LGALS8,0.0003226024700258231,0.59478813,HOXA7,0.5979986219363814,3.5112407
4877,MMD,0.06836012112613564,-0.1689548,CUL4A,0.4766500078450101,-0.13651618,C18ORF8,0.00032329946212403856,0.9579393,MFN1,0.5980623628544908,0.25074303
4878,RRP9,0.06841554964815148,-0.6852635,ABHD11,0.47670898857949073,-0.6125596,VAPB,0.0003247310363687227,0.84255296,VPS26A,0.5981473555439052,0.35431865
4879,MSL1,0.06845856046323669,-0.42586178,GZMM,0.47671881909048586,-1.5805709,UNC119,0.0003247310363687227,0.49796882,RNF20,0.5982961059439537,0.16534936
4880,DMTF1,0.06857752170626734,-0.2052104,FAM161A,0.4767876357759441,1.5421382,RB1CC1,0.00032543233149972064,0.1563948,FAM213A,0.5987105705631977,0.50711507
4881,CRTAP,0.06884210925696135,-0.46543187,CCDC142,0.47681713030633743,-0.63544214,MYO19,0.00032593412415226665,1.4848692,METTL26,0.5987956050393306,0.0800685
4882,PSMC3IP,0.06884779628162592,-2.2520175,PIDD1,0.4769646179437004,-0.4377822,MIDN,0.00032636959676453565,0.057463113,HIST1H4E,0.5990826368210558,-3.7413557
4883,HYPK,0.0690744534727604,-0.19632779,GRIPAP1,0.4772252404641314,-0.17949893,ANKRD35,0.00032943318554265634,8.044511,APMAP,0.5991676952489994,-0.7687589
4884,CPM,0.06914633688545173,-1.3333483,NOLC1,0.47731869015383965,-0.04895743,CC2D1A,0.0003319272469341528,1.4975696,GANC,0.5991783279372769,-1.5240117
4885,CMIP,0.06916916986241088,-0.26138458,MED24,0.4773826351844419,-1.4001665,NEU1,0.00033426754099313393,0.51367885,PCDHGA8,0.599210226515112,2.700412
4886,RSF1,0.06923884869552792,0.030831952,ZC3H14,0.47739247329748136,-0.2007165,MIAT,0.0003368130856172898,1.3118972,SHPRH,0.5993378285206294,-0.45061198
4887,FKBP11,0.06941158038358247,-0.85700834,POLE,0.47751545907031534,-1.2545216,PPP6R2,0.0003390292527584374,0.9141221,HLA-DRB5,0.5994973483357753,0.15716515
4888,ZNF430,0.06948833618292052,0.043719888,TMEM55A,0.477820538570199,0.7217065,ZC3HC1,0.00034115422898810667,1.8192506,ZNF775,0.5995505258801708,1.9094992
4889,SCAMP4,0.06953419375694925,-0.45282763,INPP5B,0.4778746767091451,-0.25718933,IL16,0.00034250180962655904,-0.051660813,ZCCHC4,0.5995611616453729,1.1564065
4890,SEC23B,0.06955024977725506,-0.56257814,ITM2A,0.47793866247022754,0.22897047,PCYT2,0.00034304574676156707,2.113765,PIAS4,0.5996887974913505,0.68794274
4891,WDTC1,0.06955139675232472,-0.5191279,PINX1,0.4781995759696026,-0.20741409,AGK,0.0003431159910329254,2.2146077,PPOX,0.5998270835376878,0.6613944
4892,KRIT1,0.06969259317047556,-0.042209376,MAP2K6,0.4783669954236983,-0.5971815,ARHGEF2,0.0003449294219802271,0.2540368,UBAC2-AS1,0.6000079409110074,1.5820187
4893,TRIP4,0.06978340434902812,-0.771876,LIMK2,0.47856892618264024,-1.0699171,SBF1,0.0003454416148311207,1.9954869,ARHGAP35,0.6000611389513528,1.4282212
4894,USP6NL,0.06997569200109145,-0.18292232,PES1,0.47860340681930746,-0.21756034,RECQL4,0.00034867234507357346,6.465828,GIMAP4,0.6003165192435115,-2.630634
4895,UFSP2,0.06998030302071198,-0.41862872,KRBOX4,0.4786231106495795,-0.5337284,PDHX,0.00034920758859060034,0.97260904,HNRNPU,0.6003590874034942,-0.091166414
4896,ATAD3A,0.07005988236952408,-1.4006519,UBQLN1,0.4790320651078449,0.0067633954,MVP,0.0003496184623134227,1.0505766,WHSC1,0.6004229422024729,0.6870913
4897,DOCK8,0.07005988236952408,0.013456707,ZNF302,0.47912077919314744,-0.23016684,NACC1,0.00034997611131739584,2.3669028,METTL18,0.6006251693205442,-1.1195216
4898,RNF113A,0.07019267964406857,-0.08450491,SLC35C2,0.4791799268991266,-0.0357815,RUNX1,0.00035045948031557953,1.0619177,ELP3,0.6007529075693367,0.55152714
4899,SLC2A5,0.07021348398701552,-0.81132084,RP11-245D16.4,0.47977655560070975,-1.0792595,RICTOR,0.0003546930281823918,-0.0027711508,ACSM3,0.6007954897132579,-25.085238
4900,WDR70,0.07030948058843403,-0.2818845,SMUG1,0.47980121839385714,0.03902169,RDM1,0.0003579863152455441,6.4484024,OAT,0.60085936548592,0.20368578
4901,SLC38A10,0.07030948058843403,-0.701993,EIF2D,0.47997881091531713,-0.09696802,AC004381.6,0.0003586447336653025,6.1645393,PPP2R3C,0.6008913045226962,0.16342928
4902,RDH11,0.07050759619239519,-0.116493024,C11ORF1,0.4801761779712752,0.7696525,SRGAP2C,0.0003680573115809053,1.4470247,CH17-373J23.1,0.601008420885079,-1.2289337
4903,TMEM42,0.0705273168963135,-0.5334086,MCPH1,0.4801959171099436,-0.2809123,LYN,0.0003727738189373926,-0.028078508,NME6,0.6010190683382961,0.45777383
4904,ZNF296,0.07058302330793716,-0.8171194,HRK,0.48045750245282925,-0.5389353,MECR,0.0003736477873803356,2.0598598,THOC1,0.6010936028960118,-0.5663457
4905,RTKN2,0.07065503083267788,-4.649613,BICD1,0.4806302900542275,-0.23398067,LY6E,0.00037486693019514125,0.38231546,FAM208A,0.6013704820747625,0.1944801
4906,FAM72D,0.07085976762197677,-6.1713285,SLC38A9,0.48065003936412054,-0.5603155,COL4A3BP,0.0003762811990712026,0.6788987,CUL1,0.6014237346691889,0.28538093
4907,STAT5A,0.07090520121442859,-0.3656667,ARFIP2,0.4806697891161208,-0.09237772,DDHD1,0.00037676011863377047,0.59272504,DEPDC1B,0.6014769893916239,-1.2472445
4908,UTP3,0.07102764116114695,-0.09587227,CDC23,0.4806944769278192,-0.3179399,FTSJ1,0.0003780848947363532,1.2352799,CNFN,0.6015835052196137,-1.5015838
4909,RNFT1,0.07102997503189895,-0.5040038,ASUN,0.4816232397433138,-0.13890316,ALDH18A1,0.00037814259234935087,1.5842663,TMEM30A,0.6017006824585911,0.31185764
4910,CDK14,0.07104864826145318,-0.4731651,HADHB,0.4816825556082659,0.054161288,B3GALT4,0.0003790861524800591,1.119832,ASPSCR1,0.6018072161540471,0.41483623
4911,TRIM14,0.07112571788013647,-0.49518982,FCRL2,0.481731988531622,0.14276479,NQO2,0.00038005123708463633,1.3626888,TMED3,0.6018285239138568,0.071247466
4912,TMEM69,0.07113623268164997,-0.27810895,BMP7,0.4817665932200246,-23.794483,BTN2A1,0.0003808055967319041,0.46413472,USP30,0.6018817948017494,2.2513037
4913,RBM5,0.07118648765654258,0.06448708,CFAP73,0.4817665932200246,-23.762878,MEF2A,0.0003810767336926458,0.15589045,ZC3H4,0.6021481811275524,0.76381165
4914,KIF3B,0.07122624474877925,-0.5066845,PMS1,0.4818753596151081,-0.17313762,DDX24,0.0003819300535603342,0.13966773,YWHAG,0.6023293541747364,0.20432086
4915,RBL1,0.07124729998849162,-0.76471984,IQGAP2,0.48194952617795517,-0.43486214,MEPCE,0.00038553745306402025,0.78827465,ANKH,0.6023506702654035,0.49932224
4916,OSGEP,0.07130581353570295,0.10715055,SLC52A2,0.4823253988264333,-0.09279556,ATG10,0.0003876187195386349,1.2999965,EXOC1,0.6025531900746874,0.26889148
4917,ZNF217,0.07131869180057054,-0.7567162,PHTF2,0.4830281140018673,-0.010530591,SDR39U1,0.0003891569181028197,0.23321974,LTN1,0.6025958297311109,-0.6636124
4918,PTCD3,0.0713292299806388,-0.043263275,CNTROB,0.48321625880217267,-0.69403994,PIK3CG,0.0003902647814832753,1.1203601,KLF4,0.6028410341198142,-2.208356
4919,MON1B,0.07138311172338832,-0.8695408,JMJD1C,0.4832212105183915,0.16967665,MED27,0.00039326676103544346,2.0209353,NRAS,0.6031929275346576,0.6545437
4920,MAPK6,0.07147924451823597,-1.3890697,NAPEPLD,0.48353322417408306,-0.29784608,R3HDM2,0.00039368595981741983,0.27434888,EPC2,0.6036302571065302,0.41928437
4921,ACBD3,0.0715003610334669,-0.2383731,NPDC1,0.4837512033044957,-2.2575257,DMTF1,0.00039398564310365,0.5250565,CCDC130,0.6036729310352014,-1.1008782
4922,EMSY,0.07151209463959067,-0.89793205,GTF2A1,0.4838354367905082,-0.13584602,TAOK1,0.00039598898546619726,0.5596383,KPNA5,0.6037582829597845,-0.75789404
4923,DNTTIP2,0.07162716750387128,0.0246011,LXN,0.4839890595115992,-0.58783257,CREBL2,0.0003973365452083541,1.6139808,GPAT4,0.6037689523316256,0.7510458
4924,SULF2,0.07168593657507219,-0.8301285,FBXL4,0.48399897156327876,-0.6997861,CRNDE,0.00039972028261121427,5.546925,C1ORF112,0.6037796217881869,-1.8743106
4925,MPV17L2,0.07178004925947874,-1.1363009,RSPRY1,0.48401879599693587,-0.11726655,ZBTB1,0.00040000398383708695,0.68922937,DALRD3,0.6037902913294666,0.35204425
4926,DHX38,0.0717835804533057,-0.30209616,MAST2,0.48443025235657966,-1.8741559,LXN,0.000400125627654581,2.511391,HIVEP1,0.6038436403065768,1.0349349
4927,EHMT2,0.07184834423218128,-0.28662625,KIAA2013,0.4846186932204164,-0.11723737,INO80,0.00040089684142592257,0.70946395,MTHFSD,0.6038863210130092,0.9999356
4928,AKIP1,0.07193084007913747,-0.9722371,REC8,0.48471788857587983,-0.6143717,IRF8,0.0004012626377097389,-0.45308232,SLC25A32,0.6039290030746436,0.33001027
4929,BCKDHB,0.07210551531882738,-1.362669,SERTAD3,0.4850502731633304,0.7198823,PLK3,0.0004018526321048957,0.5430797,PIAS2,0.6039396738017888,0.47224978
4930,EIF3J-AS1,0.07215633063599415,-0.45167252,RWDD2B,0.48552177627477644,-0.69564337,TFCP2,0.0004043230888015227,1.2844484,RIC8A,0.6039823575572612,0.31525028
4931,ZNF318,0.07215869485269048,1.0391141,TEX264,0.4856359669495831,0.0096444655,KLHL24,0.00040473279253957155,0.24291237,RAD21,0.6040463857309439,-0.30206764
4932,CHFR,0.07219653094817814,-0.8460888,KLF8,0.48564589726031104,0.882159,TMEM120A,0.0004053480753674095,1.7183325,ALKBH1,0.6041637786326444,0.7076249
4933,NSMAF,0.07229711197429464,-0.45769647,IKBKE,0.48584452654948473,-0.06728265,NHLRC3,0.0004066018459897218,-0.12904409,ZNF217,0.6041744512225695,0.52323365
4934,HIPK1,0.0723160576989375,-0.6592036,GTF2H2C,0.48586935830069866,-0.5813401,NVL,0.00040724039547952447,0.8349526,IFIH1,0.6045800723492731,-1.1674092
4935,ZNF830,0.07240847633016313,-0.060184374,METTL3,0.4859686921714994,-0.35576245,GPR137,0.00040792117096780773,1.4426893,FAF2,0.6046014242137574,0.47326303
4936,ZNF721,0.07244760561966715,-0.101280786,FBXO8,0.4859935273555852,-0.37415606,CAAP1,0.0004079418171131624,1.1271954,SAAL1,0.6046121002728672,0.38589323
4937,CDK10,0.07246539738235147,-0.50829977,TTC39C,0.4860928749568678,-0.10211012,PPP1R15B,0.00040802441145589653,1.0959078,AGPAT2,0.6046975117903216,-0.84103876
4938,TMEM39B,0.0726494551371561,-0.5186227,LIN9,0.48623198004970813,-1.3471252,PES1,0.00040891328770824894,1.1607205,NARS,0.6048897074904939,0.090135396
4939,CR1,0.07265302131666462,-0.28216618,PXMP4,0.48633632299401297,-0.57576483,STAT5A,0.0004090374606544044,0.77233696,RASAL3,0.6051246505376309,-0.3818246
4940,CBX6,0.07275769301233873,-0.4520267,ALG8,0.48634626104864087,-0.22172515,HERPUD2,0.00041021886155467375,0.39477837,GPSM3,0.6052314563510359,0.02155019
4941,EIF4ENIF1,0.07289824191676324,-1.5788233,LILRA4,0.4864108610799538,1.3828555,RP11-160E2.6,0.0004148295808508436,1.0055898,CCZ1,0.6055198742346478,0.21215777
4942,SLC7A5,0.07292089342654866,-2.6220863,NXT2,0.48646055656815934,-0.32032266,BSDC1,0.0004151232866777797,0.09813935,QRICH1,0.6055732917085259,0.35603553
4943,DHRS9,0.07296024921148855,-3.3301024,ITGAL,0.48660965949937796,-0.0027026602,GABARAPL1,0.00041697388922314705,2.9779003,KPNA1,0.6055839754565419,0.5145514
4944,DCTN1,0.07315131163709536,-0.85707086,GABPA,0.48665936596478,-0.35132745,CLECL1,0.0004170792680684574,0.09080145,DPYSL2,0.6058510965851583,0.71698254
4945,VAMP7,0.07326016087827365,-0.16937926,SNAPC2,0.4867239884719021,-0.19149928,CMIP,0.0004177120636221095,0.624449,ASNS,0.6059152135028958,0.5562478
4946,ANKZF1,0.07334038728594898,-0.2974963,PCF11,0.4870720355130804,0.16140968,EBLN3P,0.0004193615307184966,0.12465417,MTMR6,0.6061182704408468,-0.71555096
4947,IBTK,0.07340150330668394,-0.31128362,ELP4,0.4874401170786823,-0.60141087,RPAP2,0.0004212084959163634,0.61411804,SLC52A2,0.6062144659309578,0.5729786
4948,UCK1,0.07344466910241049,-0.9304668,GOLPH3L,0.4874998201283274,-0.3668774,MFGE8,0.0004249037890875085,4.7034616,STRA13,0.6062572216740207,0.22953708
4949,ACOT9,0.07344706781080505,-0.6358122,MYO19,0.48756947867513667,-0.30403024,CABIN1,0.0004286077137806511,0.9336,RACGAP1,0.6063213578173845,-0.41550693
4950,AQP3,0.07354426936031658,-3.6380374,GTF2IRD2,0.48768392937878124,-0.557115,TBC1D2B,0.0004312531672151311,2.1472847,PAK1IP1,0.6065565496323782,0.37584785
4951,BET1L,0.07370530288074137,-0.9450385,CTSO,0.48770881188498927,0.4942334,C2ORF47,0.00043343293229222414,1.3715725,TGM2,0.6065993161617198,2.3024404
4952,SP2,0.07371252007534276,-0.97209096,CLASP2,0.4877635558102381,-0.32304737,QDPR,0.0004338482487283615,1.5774854,IGHV1-69-2,0.6066741608310331,2.690574
4953,RHOB,0.07371492593528398,-0.15264437,KLHL7,0.48783821196093546,-0.120703645,TXNRD2,0.0004358645146876677,1.7646679,JAML,0.606855943636511,1.7135708
4954,NEDD1,0.07372455001711732,-0.53780407,CGRRF1,0.4879875427571506,-0.23203959,CELF2,0.0004389274281882663,-1.0738649,GAR1,0.6069842755606557,0.43480194
4955,KNOP1,0.07373658156415151,-0.16581284,TRIM44,0.4887295842937922,-0.1391841,MT1F,0.0004414988965826961,1.67665,ANGPT2,0.6071233154890876,-0.8847403
4956,CSNK1G2,0.07384252841969785,-0.51818234,ELMOD2,0.48874453096990056,-0.49088007,PDE12,0.00044484492203092135,1.1385875,SSBP3,0.607176796171363,1.3903925
4957,WDR45,0.07384493774843072,-0.21337242,TMED5,0.48874951325001204,0.43337324,USP8,0.0004460328326235609,-0.2394173,AC007381.3,0.607176796171363,2.023127
4958,CHD3,0.07413694124438458,0.039971657,SCOC,0.48896377718534456,-0.03315654,WRAP73,0.00044684140311977775,1.100867,FAM134B,0.6072730666998285,-3.2314491
4959,TRIP13,0.0741417756653551,-3.7825692,KPNA1,0.4890883725007448,-0.3157973,GPR18,0.0004477864643781005,0.040357538,PUS3,0.6073800419449004,0.2746252
4960,SPRYD7,0.07421553251597521,-0.78269583,PATJ,0.4890933566690526,0.5874049,TBRG1,0.00045267631630172613,0.0018860884,PPWD1,0.6075191223362137,0.226658
4961,TM2D2,0.07441776385802024,-0.3756791,SPRYD3,0.4892179697681426,0.9655751,RNF144B,0.0004547512744015556,2.0146878,HENMT1,0.6075940176632919,0.97372556
4962,CENPV,0.07454757374380343,-1.121812,MON1B,0.4898811988159387,-0.2408823,CPSF1,0.0004563534319468683,2.1018362,POC1B,0.60761541708477,-1.652837
4963,SYTL2,0.07464110275113749,-5.5462217,KLRB1,0.4899709962930152,-1.0512695,FAM13B,0.00045708759979115284,0.38382286,THAP2,0.6077010181329243,0.13481444
4964,SLF2,0.07473472759621545,-0.20155813,PCYT2,0.4902554133849434,-0.39502522,RINT1,0.00045819091831567836,1.5272839,KLK1,0.6077331199127752,-1.4895123
4965,ICAM1,0.07474567701858269,-2.252619,RNF121,0.4903452477519572,-0.47621638,NME7,0.0004652831999326035,1.7010177,TLR6,0.6078187283566447,0.43089
4966,PPM1M,0.07519206487185132,-1.5427456,WDR55,0.49036521214666273,-0.1886282,AHR,0.0004665453618960631,2.6049404,MRPS2,0.6078187283566447,0.3840069
4967,CREG1,0.07522018910086141,-1.2007209,RPRD2,0.490440082519475,-0.10161502,BICDL1,0.0004667326202952111,3.0608065,GSDMD,0.6078722363649257,0.16101795
4968,EP300,0.07547246749850971,-0.2541888,MB21D1,0.4905299350793835,0.63365,HYLS1,0.00046731825484612607,1.9436094,RPAIN,0.6079043421780947,0.035508376
4969,STK38,0.0755104914398508,-0.48250017,ATG13,0.49069468775500813,-0.26763186,TBC1D10B,0.00046757615117104995,2.955004,AGPAT3,0.60791504428384,0.98179114
4970,PIGP,0.07552030660769023,-0.062977515,MED8,0.49086945793609527,0.016965184,FAM98C,0.0004698796410541229,1.1106552,LYAR,0.6079578535468835,-0.3690841
4971,NUP188,0.07556326021143307,-1.1040918,ZNF275,0.4909094101020687,-0.8431125,RASSF2,0.00047049254553136035,0.38586333,TRAF3IP1,0.6079685560726507,1.5332798
4972,RARS2,0.07563939839683419,-0.5466965,DCAF16,0.4911541552393631,-0.17756921,TARS2,0.0004725488456135609,1.5264992,P3H1,0.60798996137618,0.6794597
4973,MED27,0.07570207511720582,-1.2010344,SDF4,0.4912240944578393,0.04892609,MAK16,0.00047299903661617183,1.0434442,ALKBH4,0.6080862893996084,0.56218874
4974,WRAP73,0.07579432375096247,-0.48960364,BDH1,0.49145393240372226,-0.27464887,GIMAP6,0.0004730227419587084,6.246639,ARL8A,0.608246851220795,0.9613806
4975,CEP295,0.07603336577021233,-0.15044583,UBE2O,0.4920887846456119,-0.84056044,USP6NL,0.0004771404877139607,0.53682214,SIKE1,0.6084502566429555,0.3389469
4976,TOPORS,0.07606791741426361,-0.041469675,SLK,0.492208806129108,-0.3700916,POLG,0.0004779058064659599,1.0670784,GCFC2,0.6085787388344992,0.47015443
4977,INCENP,0.07628662967280657,-2.1248095,GSN,0.4922988325448008,-0.31417736,SCAF1,0.0004815085252487818,1.606841,ZNF18,0.6086751084062711,1.0353606
4978,CANT1,0.07628910392503789,-0.8826024,DIP2A,0.4923188396141418,-0.43764266,ERGIC1,0.0004833435563090431,0.15475887,KRR1,0.6087821936764863,-0.020469476
4979,PHACTR4,0.07629405262585043,-0.22442697,RP11-203B7.2,0.49242888628953396,-3.6592135,MAN1A1,0.0004863029082681638,2.3428943,SLK,0.6088250301327109,-1.3249055
4980,FARSB,0.07645254933789813,-0.52379143,ACTR8,0.49249392006974135,-0.34556547,DIS3L,0.0004893770200293905,1.0810761,HERC5,0.6089107070698897,-1.6108037
4981,VPS13C,0.07645254933789813,0.0015378977,CRY2,0.4926189979736765,0.6948585,HGS,0.0004900381116391352,1.0329801,TSHZ2,0.6089107070698897,-24.908228
4982,SUV39H1,0.07674548151318444,-2.4824245,ATAD1,0.49269905676800085,-0.072338596,XRN1,0.0004929124770610887,0.5691461,USP40,0.6090392325357041,0.99255586
4983,DYNC1LI1,0.07679770929546659,0.018256575,TBCE,0.49281415350187174,-0.7151398,CUL5,0.0004934793691139242,0.093115434,HCCS,0.6091249228848962,0.35659754
4984,TAB2,0.07684996604774322,-0.44563276,LMBR1L,0.4928742096914699,-0.42322704,USP37,0.0004951342172103825,1.6060874,SCAMP1,0.6093820261075568,0.52006716
4985,EEFSEC,0.07696328844628607,-0.25617802,VPS4A,0.4928942292928479,0.078647755,SQSTM1,0.0004965709494088855,-0.24144177,SMARCA2,0.6094034535540873,0.12132447
4986,VTI1A,0.07698696634560263,-0.35287404,JAKMIP1,0.49291925440732576,-2.5951161,IMPDH1,0.0004966205611623847,1.8841203,NUMA1,0.6094570236360237,-0.68254167
