"","x"
"2357",4
"2358",5
"2359",2
"2360",2
"2361",0
"2362",1
"2363",8
"2364",7
"2365",2
"2366",4
"2367",8
"2368",3
"2369",1
"2370",5
"2371",5
"2372",1
"2373",1
"2374",1
"2375",7
"2376",2
"2377",1
"2378",1
"2379",1
"2380",2
"2381",1
"2382",4
"2383",1
"2384",2
"2385",3
"2386",2
"2387",1
"2388",3
"2389",7
"2390",0
"2391",6
"2392",2
"2393",6
"2394",5
"2395",0
"2396",8
"2397",3
"2398",3
"2399",1
"2400",7
"2401",5
"2402",1
"2403",4
"2404",6
"2405",2
"2406",2
"2407",5
"2408",1
"2409",8
"2410",0
"2411",4
"2412",0
"2413",4
"2414",4
"2415",0
"2416",1
"2417",1
"2418",0
"2419",3
"2420",2
"2421",6
"2422",3
"2423",2
"2424",8
"2425",5
"2426",0
"2427",4
"2428",1
"2429",1
"2430",2
"2431",3
"2432",3
"2433",1
"2434",8
"2435",1
"2436",2
"2437",2
"2438",5
"2439",0
"2440",5
"2441",6
"2442",6
"2443",2
"2444",0
"2445",5
"2446",4
"2447",0
"2448",1
"2449",7
"2450",1
"2451",3
"2452",6
"2453",0
"2454",0
"2455",0
"2456",5
"2457",1
"2458",4
"2459",8
"2460",2
"2461",2
"2462",8
"2463",0
"2464",0
"2465",4
"2466",0
"2467",4
"2468",5
"2469",0
"2470",3
"2471",4
"2472",3
"2473",2
"2474",1
"2475",4
"2476",7
"2477",3
"2478",4
"2479",0
"2480",0
"2481",4
"2482",1
"2483",4
"2484",0
"2485",4
"2486",6
"2487",1
"2488",3
"2489",1
"2490",0
"2491",1
"2492",1
"2493",1
